n_classes,C,max_iter,seed,n_train,acc,xent,err
5,1.0,10000,3,6,0.5758,inf,0.4242
10,1.0,10000,3,6,0.188,inf,0.812
2,1.0,10000,4,6,0.9305,1.0227496492497579,0.0695
5,1.0,10000,4,6,0.525,inf,0.475
10,1.0,10000,4,6,0.3894,inf,0.6106
2,1.0,10000,5,6,0.866,2.2707189436632995,0.134
5,1.0,10000,5,6,0.522,inf,0.478
10,1.0,10000,5,6,0.3991,inf,0.6009
2,1.0,10000,6,6,0.898,0.9830094843281926,0.10199999999999998
5,1.0,10000,6,6,0.303,inf,0.6970000000000001
10,1.0,10000,6,6,0.3087,inf,0.6913
2,1.0,10000,7,6,0.891,1.4076868231543431,0.10899999999999999
5,1.0,10000,7,6,0.3936,inf,0.6064
10,1.0,10000,7,6,0.3417,inf,0.6583
